"url";"num_imgs";"num_videos";"num_keywords";"is_weekend";"global_rate_positive_words";"global_rate_negative_words";"shares"
"http://mashable.com/2013/01/07/amazon-instant-video-browser/";1;0;5;0;0.0456621004566;0.013698630137;593
"http://mashable.com/2013/01/07/ap-samsung-sponsored-tweets/";1;0;4;0;0.043137254902;0.0156862745098;711
"http://mashable.com/2013/01/07/apple-40-billion-app-downloads/";1;0;6;0;0.0568720379147;0.00947867298578;1500
"http://mashable.com/2013/01/07/astronaut-notre-dame-bcs/";1;0;7;0;0.0414312617702;0.0207156308851;1200
"http://mashable.com/2013/01/07/att-u-verse-apps/";20;0;7;0;0.0746268656716;0.0121268656716;505
"http://mashable.com/2013/01/07/beewi-smart-toys/";0;0;9;0;0.0297297297297;0.027027027027;855
"http://mashable.com/2013/01/07/bodymedia-armbandgets-update/";20;0;10;0;0.0802083333333;0.0166666666667;556
"http://mashable.com/2013/01/07/canon-poweshot-n/";20;0;9;0;0.0839231547017;0.0151668351871;891
"http://mashable.com/2013/01/07/car-of-the-future-infographic/";0;0;7;0;0.0309278350515;0.020618556701;3600
"http://mashable.com/2013/01/07/chuck-hagel-website/";1;1;5;0;0.038961038961;0.030303030303;710
"http://mashable.com/2013/01/07/cosmic-events-doomsday/";1;0;8;0;0.0384615384615;0.0208333333333;2200
"http://mashable.com/2013/01/07/crayon-creatures/";1;0;7;0;0.0267379679144;0.0106951871658;1900
"http://mashable.com/2013/01/07/creature-cups/";11;0;8;0;0.0510948905109;0.029197080292;823
"http://mashable.com/2013/01/07/dad-jokes/";0;21;6;0;0.0280701754386;0.0526315789474;10000
"http://mashable.com/2013/01/07/downton-abbey-tumblrs/";9;0;7;0;0.015444015444;0.011583011583;761
"http://mashable.com/2013/01/07/earth-size-planets-milky-way/";1;0;6;0;0.049853372434;0.0395894428152;1600
"http://mashable.com/2013/01/07/echo-game/";12;1;5;0;0.04114490161;0.025939177102;13600
"http://mashable.com/2013/01/07/entrepreneur-trends-2013/";1;0;6;0;0.0654911838791;0.0100755667506;3100
"http://mashable.com/2013/01/07/facebook-sick-app/";1;0;6;0;0.0291262135922;0.00970873786408;5700
"http://mashable.com/2013/01/07/felt-audio-pulse-speaker/";42;0;8;0;0.069594034797;0.0115990057995;17100
